כתובת,סוג מקלט,שם מקום,latitude,longitude
הרב עובדיה יוסף ליד הספורטק,עילי,הרב עובדיה יוסף ליד הספורטק,32.0781067,34.9143923
סיני 25,עילי,קורצ'אק,32.0728046,34.8940946
מינץ 38,תת קרקעי,מינץ 38,32.0730129,34.8902007
יאנוש קורצאק מול 18,תת קרקעי,יאנוש קורצאק מול 18,32.0696662,34.8935523
אסף שמחוני 8,תת קרקעי,אסף שמחוני 8,32.0747668,34.8927095
שפרינצק 8,תת קרקעי,שפרינצק 8,32.0772349,34.890779
קיש 48,תת קרקעי,יסודות,32.070876,34.894769
שפרינצק 17,תת קרקעי,תיכון אפיקים,32.0758695,34.8920288
ברנדה זאב 29,עילי,ברנדה זאב 29,32.0806355,34.8852861
מינץ 40,תת  קרקעי,מינץ 40,32.0726177,34.8905749
שפרינצק 17,תת קרקעי,"בי""ס אור חיה",32.0758695,34.8920288
החרוב 40,עילי,"מתנ""ס החרוב",32.079501,34.917103
יחיעם 5,תת קרקעי,יחיעם 5,32.079561,34.918711
השושנים,תת קרקעי,השושנים,32.0835183,34.8687035
יד הבנים 30,תת קרקעי,ישיבת כפר גנים,32.0735008,34.8816456
צלאח שלום 22,תת קרקעי,צלאח שלום 22,32.0770369,34.9113707
המלך כורש 22,תת קרקעי,המלך כורש 22,32.0765459,34.9110557
עדש שפיק 2,עילי,"מתנ""ס עמישב",32.073702,34.9121075
צאלח שלום 8,תת קרקעי,צאלח שלום 8,32.078575,34.911457
יהודה הנשיא 22,תת קרקעי,יסודי אהבת ציון,32.0709474045832,34.9059658886239
משה פלד 3,עילי,מעון פנדה,32.1002765,34.8785306
נס ציונה 5,עילי,גני נרקיס,32.1024182,34.8734926
טרומפלדור 33 פינת ניימן,תת קרקעי,טרומפלדור 33 פינת ניימן,32.0845135,34.8785602
סלנט 16,עילי,גן תפוז,32.0839451,34.8879316
כץ 35,תת קרקעי,חניון שופרסל,32.076469,34.8844029
פרץ פסקל 3,עילי,גן אגוז,32.084266,34.886117
הרצל 32,תת קרקעי,חניון מגדל זיסו,32.0849009,34.8874671
סביון 23,תת קרקעי,שארית ישראל,32.0866997,34.8923089
שפירא 46,עילי ותת קרקעי,"בי""ס הס, מקלט וממ""ד חדש כניסה נפרדת",32.0796147,34.8869318
גד מכנס,עילי,גד מכנס,32.077118,34.886727
קהילת יוסטון 3,עילי,"מתנ""ס יוספטל",32.0910064,34.9043263
